GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
checkstyle,com.puppycrawl.tools.checkstyle.checks.whitespace,WhitespaceAfterCheck,0,130,0,14,0,23,0,13,0,6
checkstyle,com.puppycrawl.tools.checkstyle.checks.whitespace,FileTabCharacterCheck,0,49,0,6,0,14,0,6,0,3
checkstyle,com.puppycrawl.tools.checkstyle.checks.whitespace,AbstractParenPadCheck,0,144,0,26,0,27,0,17,0,4
checkstyle,com.puppycrawl.tools.checkstyle.checks.whitespace,MethodParamPadCheck,0,138,0,16,0,25,0,15,0,7
checkstyle,com.puppycrawl.tools.checkstyle.checks.whitespace,GenericWhitespaceCheck,0,388,0,77,0,73,0,54,0,15
checkstyle,com.puppycrawl.tools.checkstyle.checks.whitespace,TypecastParenPadCheck,0,43,0,6,0,10,0,8,0,5
checkstyle,com.puppycrawl.tools.checkstyle.checks.whitespace,NoLineWrapCheck,0,74,0,2,0,7,0,6,0,5
checkstyle,com.puppycrawl.tools.checkstyle.checks.whitespace,NoWhitespaceAfterCheck,0,482,0,66,0,115,0,52,0,16
checkstyle,com.puppycrawl.tools.checkstyle.checks.whitespace,EmptyLineSeparatorCheck,0,834,0,146,0,179,0,109,0,35
checkstyle,com.puppycrawl.tools.checkstyle.checks.whitespace,WrapOption,0,24,0,0,0,3,0,1,0,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.whitespace,ParenPadCheck,0,320,0,42,0,76,0,38,0,15
checkstyle,com.puppycrawl.tools.checkstyle.checks.whitespace,OperatorWrapCheck,0,333,0,14,0,22,0,13,0,6
checkstyle,com.puppycrawl.tools.checkstyle.checks.whitespace,SeparatorWrapCheck,0,136,0,8,0,22,0,10,0,6
checkstyle,com.puppycrawl.tools.checkstyle.checks.whitespace,EmptyForIteratorPadCheck,0,90,0,12,0,19,0,12,0,6
checkstyle,com.puppycrawl.tools.checkstyle.checks.whitespace,EmptyForInitializerPadCheck,0,92,0,12,0,20,0,12,0,6
checkstyle,com.puppycrawl.tools.checkstyle.checks.whitespace,PadOption,0,24,0,0,0,3,0,1,0,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.whitespace,WhitespaceAroundCheck,0,936,0,154,0,99,0,106,0,29
checkstyle,com.puppycrawl.tools.checkstyle.checks.whitespace,SingleSpaceSeparatorCheck,0,132,0,26,0,30,0,27,0,14
checkstyle,com.puppycrawl.tools.checkstyle.checks.whitespace,NoWhitespaceBeforeCheck,0,154,0,22,0,26,0,18,0,7
checkstyle,com.puppycrawl.tools.checkstyle.checks.annotation,AnnotationUseStyleCheck.ClosingParens,0,34,0,0,0,4,0,1,0,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.annotation,AnnotationUseStyleCheck,0,325,0,54,0,88,0,45,0,17
checkstyle,com.puppycrawl.tools.checkstyle.checks.annotation,AnnotationOnSameLineCheck,0,174,0,16,0,27,0,15,0,7
checkstyle,com.puppycrawl.tools.checkstyle.checks.annotation,MissingOverrideCheck,0,130,0,26,0,36,0,21,0,8
checkstyle,com.puppycrawl.tools.checkstyle.checks.annotation,AnnotationLocationCheck,0,293,0,44,0,54,0,39,0,17
checkstyle,com.puppycrawl.tools.checkstyle.checks.annotation,AnnotationUseStyleCheck.TrailingArrayComma,0,34,0,0,0,4,0,1,0,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.annotation,AnnotationUseStyleCheck.ElementStyle,0,44,0,0,0,5,0,1,0,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.annotation,SuppressWarningsCheck,0,219,0,24,0,62,0,26,0,13
checkstyle,com.puppycrawl.tools.checkstyle.checks.annotation,PackageAnnotationCheck,0,35,0,4,0,11,0,7,0,5
checkstyle,com.puppycrawl.tools.checkstyle.checks.annotation,MissingDeprecatedCheck,0,131,0,30,0,28,0,21,0,6
checkstyle,com.puppycrawl.tools.checkstyle.checks.metrics,NPathComplexityCheck.Values,0,15,0,0,0,6,0,3,0,3
checkstyle,com.puppycrawl.tools.checkstyle.checks.metrics,JavaNCSSCheck.Counter,0,10,0,0,0,3,0,2,0,2
checkstyle,com.puppycrawl.tools.checkstyle.checks.metrics,BooleanExpressionComplexityCheck,0,234,0,21,0,43,0,26,0,13
checkstyle,com.puppycrawl.tools.checkstyle.checks.metrics,NPathComplexityCheck,0,520,0,52,0,139,0,54,0,22
checkstyle,com.puppycrawl.tools.checkstyle.checks.metrics,NPathComplexityCheck.TokenEnd,0,44,0,8,0,13,0,7,0,3
checkstyle,com.puppycrawl.tools.checkstyle.checks.metrics,AbstractClassCouplingCheck,0,491,0,14,0,86,0,31,0,21
checkstyle,com.puppycrawl.tools.checkstyle.checks.metrics,ClassFanOutComplexityCheck,0,60,0,0,0,5,0,4,0,4
checkstyle,com.puppycrawl.tools.checkstyle.checks.metrics,CyclomaticComplexityCheck,0,253,0,12,0,41,0,21,0,15
checkstyle,com.puppycrawl.tools.checkstyle.checks.metrics,BooleanExpressionComplexityCheck.Context,0,55,0,4,0,11,0,6,0,4
checkstyle,com.puppycrawl.tools.checkstyle.checks.metrics,ClassDataAbstractionCouplingCheck,0,36,0,0,0,5,0,4,0,4
checkstyle,com.puppycrawl.tools.checkstyle.checks.metrics,JavaNCSSCheck,0,370,0,46,0,62,0,37,0,14
checkstyle,com.puppycrawl.tools.checkstyle.checks.metrics,AbstractClassCouplingCheck.ClassContext,0,220,0,26,0,52,0,24,0,11
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,ArrayInitHandler,0,167,0,12,0,37,0,17,0,11
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,IndexHandler,0,8,0,0,0,3,0,2,0,2
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,LineWrappingHandler,0,433,0,66,0,111,0,46,0,13
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,DoWhileHandler,0,49,0,4,0,12,0,5,0,3
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,FinallyHandler,0,7,0,0,0,2,0,1,0,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,SlistHandler,0,141,0,18,0,23,0,19,0,10
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,MethodDefHandler,0,141,0,22,0,39,0,19,0,8
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,CommentsIndentationCheck,0,1231,0,292,0,283,0,191,0,45
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,ElseHandler,0,36,0,4,0,11,0,5,0,3
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,ImportHandler,0,39,0,4,0,8,0,4,0,2
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,SwitchHandler,0,38,0,0,0,13,0,7,0,7
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,StaticInitHandler,0,7,0,0,0,2,0,1,0,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,PackageDefHandler,0,39,0,4,0,8,0,4,0,2
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,LabelHandler,0,71,0,0,0,13,0,5,0,5
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,WhileHandler,0,37,0,0,0,10,0,3,0,3
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,LineWrappingHandler.LineWrappingOptions,0,32,0,2,0,7,0,3,0,2
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,PrimordialHandler,0,16,0,0,0,5,0,4,0,4
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,MethodCallHandler,0,317,0,36,0,76,0,28,0,10
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,CaseHandler,0,50,0,0,0,10,0,6,0,6
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,ForHandler,0,84,0,2,0,23,0,5,0,4
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,TryHandler,0,186,0,22,0,44,0,19,0,8
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,ClassDefHandler,0,151,0,16,0,34,0,16,0,8
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,ObjectBlockHandler,0,80,0,6,0,21,0,12,0,9
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,MemberDefHandler,0,112,0,18,0,29,0,16,0,7
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,SynchronizedHandler,0,65,0,4,0,17,0,7,0,5
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,IndentationCheck,0,165,0,2,0,54,0,26,0,25
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,LambdaHandler,0,125,0,14,0,24,0,11,0,4
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,HandlerFactory,0,299,0,10,0,69,0,12,0,7
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,IfHandler,0,99,0,10,0,27,0,13,0,8
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,NewHandler,0,53,0,4,0,13,0,6,0,4
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,AbstractExpressionHandler,0,579,0,82,0,142,0,72,0,31
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,IndentLevel,0,196,0,16,0,36,0,19,0,11
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,LineSet,0,70,0,0,0,11,0,8,0,8
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,CatchHandler,0,26,0,0,0,9,0,3,0,3
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation,BlockParentHandler,0,335,0,36,0,64,0,39,0,21
checkstyle,com.puppycrawl.tools.checkstyle.xpath,ElementNode.FollowingEnumeration,0,45,0,6,0,14,0,5,0,2
checkstyle,com.puppycrawl.tools.checkstyle.xpath,AbstractNode,0,106,0,6,0,37,0,33,0,30
checkstyle,com.puppycrawl.tools.checkstyle.xpath,ElementNode,0,329,0,29,0,99,0,40,0,20
checkstyle,com.puppycrawl.tools.checkstyle.xpath,AttributeNode,0,39,0,0,0,16,0,13,0,13
checkstyle,com.puppycrawl.tools.checkstyle.xpath,RootNode,0,133,0,12,0,47,0,23,0,15
checkstyle,com.puppycrawl.tools.checkstyle.xpath,XpathQueryGenerator,0,329,0,50,0,93,0,39,0,14
checkstyle,com.puppycrawl.tools.checkstyle.checks.modifier,InterfaceMemberImpliedModifierCheck,0,259,0,44,0,66,0,38,0,15
checkstyle,com.puppycrawl.tools.checkstyle.checks.modifier,ClassMemberImpliedModifierCheck,0,90,0,15,0,21,0,15,0,7
checkstyle,com.puppycrawl.tools.checkstyle.checks.modifier,ModifierOrderCheck,0,247,0,40,0,53,0,29,0,9
checkstyle,com.puppycrawl.tools.checkstyle.checks.modifier,RedundantModifierCheck,0,546,0,108,0,136,0,76,0,22
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding,ArrayTrailingCommaCheck,0,49,0,8,0,12,0,9,0,5
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding,ModifiedControlVariableCheck,0,426,0,36,0,101,0,44,0,23
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding,RequireThisCheck.MethodFrame,0,7,0,0,0,3,0,2,0,2
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding,MultipleStringLiteralsCheck,0,185,0,20,0,44,0,22,0,12
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding,VariableDeclarationUsageDistanceCheck,0,785,0,154,0,255,0,103,0,22
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding,FinalLocalVariableCheck.FinalVariableCandidate,0,6,0,0,0,3,0,1,0,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding,IllegalTypeCheck,0,660,0,93,0,168,0,83,0,34
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding,ExplicitInitializationCheck,0,231,0,46,0,49,0,34,0,11
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding,PackageDeclarationCheck,0,95,0,8,0,27,0,13,0,9
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding,IllegalThrowsCheck,0,150,0,14,0,32,0,17,0,10
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding,MissingSwitchDefaultCheck,0,50,0,6,0,16,0,9,0,6
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding,SuperFinalizeCheck,0,5,0,0,0,2,0,2,0,2
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding,ReturnCountCheck,0,195,0,11,0,47,0,21,0,14
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding,RequireThisCheck.CatchFrame,0,7,0,0,0,3,0,2,0,2
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding,SuperCloneCheck,0,5,0,0,0,2,0,2,0,2
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding,DeclarationOrderCheck.ScopeState,0,9,0,0,0,3,0,1,0,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding,UnnecessarySemicolonInTryWithResourcesCheck,0,48,0,6,0,13,0,9,0,6
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding,UnnecessarySemicolonInEnumerationCheck,0,45,0,6,0,10,0,9,0,6
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding,IllegalTokenCheck,0,54,0,3,0,15,0,9,0,7
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding,AvoidNoArgumentSuperConstructorCallCheck,0,33,0,4,0,8,0,7,0,5
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding,IllegalTokenTextCheck,0,121,0,8,0,30,0,14,0,10
